Recency,Frequency,Monetarry,Cluster,HC_Cluster,DBSCAN_Cluster_025,DBSCAN_Cluster_03,DBSCAN_Cluster_035,DBSCAN_Cluster_040,GMM_Cluster,Customer_Segment,KMeans_cluster
326,1,77183.6,0,0,-1,-1,-1,-1,0,High-Value Customers,0
2,7,4310.0,1,2,0,0,0,0,1,Regular Customers,1
75,4,1797.24,1,2,0,0,0,0,1,Regular Customers,1
19,1,1757.55,1,2,0,0,0,0,1,Regular Customers,1
310,1,334.4,3,1,0,0,0,0,3,Low-Value Customers,3
36,8,2506.04,1,2,0,0,0,0,1,Regular Customers,1
204,1,89.0,3,1,0,0,0,0,3,Low-Value Customers,3
232,1,1079.4,3,1,0,0,0,0,0,Low-Value Customers,3
214,1,459.4,3,1,0,0,0,0,3,Low-Value Customers,3
23,3,2811.43,1,2,0,0,0,0,1,Regular Customers,1
33,1,6207.67,1,2,-1,0,0,0,0,Regular Customers,1
2,2,1168.06,1,2,0,0,0,0,1,Regular Customers,1
58,4,6310.03,1,2,0,0,0,0,0,Regular Customers,1
52,3,2662.06,1,2,0,0,0,0,1,Regular Customers,1
287,1,189.9,3,1,0,0,0,0,3,Low-Value Customers,3
3,10,5226.23,1,2,0,0,0,0,0,Regular Customers,1
110,2,552.0,1,2,0,0,0,0,3,Regular Customers,1
8,4,1313.1,1,2,0,0,0,0,1,Regular Customers,1
291,2,641.38,3,1,0,0,0,0,3,Low-Value Customers,3
4,1,168.9,1,2,0,0,0,0,3,Regular Customers,1
51,4,3541.94,1,2,0,0,0,0,1,Regular Customers,1
45,2,1887.96,1,2,0,0,0,0,1,Regular Customers,1
72,3,1298.04,1,2,0,0,0,0,1,Regular Customers,1
311,1,364.6,3,1,0,0,0,0,3,Low-Value Customers,3
25,1,742.9300000000001,1,2,0,0,0,0,1,Regular Customers,1
11,2,457.5,1,2,0,0,0,0,3,Regular Customers,1
315,2,1628.12,3,1,0,0,0,0,0,Low-Value Customers,3
130,1,4008.62,1,2,0,0,0,0,0,Regular Customers,1
82,2,852.24,1,2,0,0,0,0,3,Regular Customers,1
22,4,2724.81,1,2,0,0,0,0,1,Regular Customers,1
5,5,1845.31,1,2,0,0,0,0,1,Regular Customers,1
